Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
R13	R0402R	1.389	1.560	1.389	1.560	1.389	1.585	Top	-90.0
R14	R0402R	1.243	1.708	1.243	1.708	1.243	1.733	Top	-90.0
R15	R0402R	1.288	1.708	1.288	1.708	1.288	1.733	Top	-90.0
R16	R0402R	1.224	1.512	1.224	1.512	1.199	1.512	Top	0.0
R17	R0402R	0.538	1.695	0.538	1.695	0.563	1.695	Bottom	0.0
R18	R0402R	0.996	1.497	0.996	1.497	0.971	1.497	Top	0.0
R19	R0402R	1.820	1.535	1.820	1.535	1.795	1.535	Bottom	180.0
R2	R0402R	0.205	1.758	0.205	1.758	0.205	1.733	Top	90.0
R20	R0402R	1.336	1.535	1.336	1.535	1.311	1.535	Bottom	180.0
R21	R0402R	1.077	1.493	1.077	1.493	1.052	1.493	Top	0.0
R22	R0402R	0.753	1.815	0.753	1.815	0.728	1.815	Bottom	180.0
R23	R0402R	0.784	1.869	0.784	1.869	0.759	1.869	Top	0.0
R24	R0402R	0.754	1.532	0.754	1.532	0.754	1.507	Bottom	-90.0
R3	R0402R	0.496	1.477	0.496	1.477	0.496	1.452	Top	90.0
R4	R0402R	0.533	1.451	0.533	1.451	0.558	1.451	Bottom	0.0
R5	R0402R	0.819	1.470	0.819	1.470	0.819	1.445	Top	90.0
R6	R0402R	0.777	1.559	0.777	1.559	0.777	1.584	Top	-90.0
R7	R0402_R	0.780	1.470	0.780	1.470	0.780	1.450	Top	90.0
R8	R0402R	0.669	1.520	0.669	1.520	0.644	1.520	Bottom	180.0
R9	R0402R	0.757	1.771	0.757	1.771	0.757	1.796	Top	-90.0
SW1	E_SWITCH_EG1215AA	0.220	1.582	0.223	1.558	0.312	1.631	Bottom	0.0
SW2	CK_PTS830_S	0.169	1.764	0.169	1.764	0.135	1.833	Bottom	90.0
SW3	CK_PTS830_S	0.333	1.764	0.333	1.764	0.300	1.833	Bottom	90.0
SW4	CK_PTS830_S	2.446	1.837	2.446	1.837	2.377	1.803	Bottom	180.0
U1	FTDI_WQFN-16	0.530	1.763	0.530	1.763	0.569	1.853	Top	-90.0
U2	ATMEL_VQFN32	1.032	1.670	1.032	1.670	0.922	1.739	Top	-90.0
U3	ANALOG_DFN10	0.670	1.499	0.670	1.499	0.608	1.538	Top	-90.0
U4	TSSOP-8	1.479	1.595	1.479	1.595	1.440	1.478	Top	0.0
U5	BOSCH_BMP390	2.440	1.821	2.440	1.821	2.450	1.866	Top	0.0
U6	SC-70-6	1.699	1.518	1.699	1.518	1.661	1.492	Bottom	0.0
U7	MEMSIC_12-VFLGA	1.863	1.826	1.863	1.826	1.834	1.791	Top	-90.0
Y1	MURATA_CSTNE	0.844	1.602	0.844	1.602	0.844	1.649	Top	-90.0
